City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Faya,SA,18.3851,42.4509,60.8,59,40,7.4,scattered clouds
157,Bambous Virieux,MU,-20.3428,57.7575,77.0,88,75,14.97,light rain
158,Hoquiam,US,46.9809,-123.8893,51.8,76,75,9.22,broken clouds
159,Ilulissat,GL,69.2167,-51.1,48.2,43,75,19.57,broken clouds
160,Hofn,IS,64.2539,-15.2082,43.12,71,11,14.79,few clouds
161,Tuatapere,NZ,-46.1333,167.6833,48.0,78,97,18.01,overcast clouds
162,Lichinga,MZ,-13.3128,35.2406,64.0,100,75,10.36,broken clouds
163,Gogrial,SS,8.5332,28.1004,77.18,70,100,2.59,overcast clouds
164,Northam,GB,51.0333,-4.2167,43.0,83,37,11.01,scattered clouds
165,Jaru,BR,-10.4389,-62.4664,72.46,97,100,5.59,overcast clouds
166,Ketchikan,US,55.3422,-131.6461,59.0,33,1,8.05,clear sky
167,Sinesti,RO,47.1167,27.1833,41.0,87,90,10.36,overcast clouds
168,Kodiak,US,57.79,-152.4072,44.6,76,75,10.36,broken clouds
169,Dukat,RU,62.55,155.55,16.32,71,100,4.09,overcast clouds
170,Chute-Aux-Outardes,CA,49.1168,-68.399,42.8,61,90,16.11,overcast clouds
171,Lorengau,PG,-2.0226,147.2712,85.5,66,90,3.44,overcast clouds
172,Georgetown,MY,5.4112,100.3354,87.8,74,20,5.75,few clouds
173,Havoysund,NO,70.9963,24.6622,32.0,93,75,5.75,broken clouds
174,Airai,TL,-8.9266,125.4092,73.2,39,47,2.91,scattered clouds
175,Zhangye,CN,38.9342,100.4517,45.57,20,85,1.86,overcast clouds
176,Agaro,ET,7.85,36.65,61.09,98,100,0.94,heavy intensity rain
177,Bredasdorp,ZA,-34.5322,20.0403,50.0,93,95,4.61,overcast clouds
178,Kaitangata,NZ,-46.2817,169.8464,48.0,77,100,15.99,overcast clouds
179,Bereda,ES,43.2686,-7.5406,48.99,100,97,1.01,overcast clouds
180,Novikovo,RU,51.1537,37.8879,38.28,77,93,2.59,overcast clouds
181,Avera,US,33.194,-82.5271,64.4,88,75,5.23,broken clouds
182,Cabo San Lucas,MX,22.8909,-109.9124,75.0,40,90,11.5,overcast clouds
183,Klang,MY,3.0333,101.45,87.01,74,20,2.3,few clouds
184,Xiaolan,CN,22.6731,113.2295,77.0,91,100,1.99,overcast clouds
185,Urumqi,CN,43.801,87.6005,48.2,23,0,4.47,clear sky
186,Muyezerskiy,RU,63.9333,31.65,34.23,89,100,10.58,overcast clouds
187,Mitsamiouli,KM,-11.3847,43.2844,80.58,76,91,3.94,overcast clouds
188,Inhambane,MZ,-23.865,35.3833,68.02,92,0,4.16,clear sky
189,Kieta,PG,-6.2167,155.6333,86.56,63,23,7.25,few clouds
190,Dunedin,NZ,-45.8742,170.5036,47.95,85,81,20.13,broken clouds
191,Biak,ID,-0.9131,122.8766,83.14,66,79,6.4,broken clouds
192,Westport,US,41.1415,-73.3579,53.6,71,1,14.54,clear sky
193,Guerrero Negro,MX,27.9769,-114.0611,59.32,82,100,12.53,overcast clouds
194,Iquique,CL,-20.2208,-70.1431,64.4,63,0,3.44,clear sky
195,Honolulu,US,21.3069,-157.8583,80.6,54,40,20.71,scattered clouds
196,Takoradi,GH,4.8845,-1.7554,79.48,86,100,5.53,overcast clouds
197,Tamluk,IN,22.3,87.9167,89.6,55,0,6.91,haze
198,Albanel,CA,48.8832,-72.4487,44.6,93,100,9.22,overcast clouds
199,Ahtopol,BG,42.1,27.95,41.0,100,12,5.75,mist
200,Prainha,BR,-1.8,-53.48,74.8,91,99,2.26,light rain
201,Sabha,LY,27.0377,14.4283,66.87,31,0,9.89,clear sky
202,Opuwo,NA,-18.0607,13.84,61.75,60,0,2.15,clear sky
203,Fomboni,KM,-12.28,43.7425,81.91,73,100,1.57,overcast clouds
204,Ancud,CL,-41.8697,-73.8203,53.01,93,75,3.44,broken clouds
205,Calvinia,ZA,-31.4707,19.776,63.54,46,100,2.46,overcast clouds
206,Christchurch,NZ,-43.5333,172.6333,63.0,27,0,12.66,clear sky
207,Irbeyskoye,RU,55.6428,95.4522,40.42,83,90,12.8,light rain
208,Ahuimanu,US,21.4447,-157.8378,80.6,69,90,10.36,overcast clouds
209,Vila Velha,BR,-20.3297,-40.2925,77.0,88,0,9.22,clear sky
210,Bubaque,GW,11.2833,-15.8333,77.38,68,29,12.17,scattered clouds
211,Lac Du Bonnet,CA,50.2536,-96.0612,44.01,99,100,8.01,overcast clouds
212,Licheng,CN,23.2955,113.8284,79.0,88,90,4.47,overcast clouds
213,Carauari,BR,-4.8828,-66.8958,74.79,97,100,0.56,light rain
214,Namatanai,PG,-3.6667,152.4333,83.64,69,100,4.0,overcast clouds
215,Mastic Beach,US,40.7668,-72.8521,51.01,81,1,3.44,clear sky
216,Samarai,PG,-10.6167,150.6667,86.0,68,63,11.32,broken clouds
217,Saint-Leu,RE,-21.15,55.2833,77.0,65,0,13.8,clear sky
218,North Bend,US,43.4065,-124.2243,48.2,87,90,5.75,overcast clouds
219,Pedro Juan Caballero,PY,-22.5472,-55.7333,58.3,95,44,3.44,scattered clouds
220,Kahului,US,20.8947,-156.47,78.8,65,40,20.71,scattered clouds
221,Dawson Creek,CA,55.7666,-120.2362,50.0,20,1,9.22,clear sky
222,Velizh,RU,55.6056,31.1967,27.91,97,15,5.32,few clouds
223,Murgab,TM,37.4966,61.9714,62.6,48,0,9.44,clear sky
224,Mount Isa,AU,-20.7333,139.5,86.0,37,86,12.66,overcast clouds
225,Leningradskiy,RU,69.3833,178.4167,29.62,84,100,1.81,overcast clouds
226,Matina,CR,10.0761,-83.2895,76.51,87,53,2.51,broken clouds
