City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Bethel,US,2021-04-24 23:11:26,41.3712,-73.414,62.6,27,1,11.5
194,Santa Ana,US,2021-04-24 23:14:08,33.7456,-117.8678,69.8,52,75,10.36
195,Lichinga,MZ,2021-04-24 23:14:09,-13.3128,35.2406,62.6,100,40,9.22
196,Eseka,CM,2021-04-24 23:14:09,3.65,10.7667,71.64,98,96,1.79
197,Nome,US,2021-04-24 23:13:19,64.5011,-165.4064,39.2,70,1,3.33
198,Pingyi,CN,2021-04-24 23:14:10,35.5006,117.6308,55.94,70,100,6.42
199,Kruisfontein,ZA,2021-04-24 23:14:10,-34.0033,24.7314,59.0,93,85,5.1
200,Aklavik,CA,2021-04-24 23:14:10,68.2191,-135.0107,42.8,45,20,8.05
201,Fairbanks,US,2021-04-24 23:10:04,64.8378,-147.7164,60.8,17,1,3.44
202,San Pedro,PH,2021-04-24 23:14:11,14.35,121.0167,81.0,83,40,2.3
203,Peniche,PT,2021-04-24 23:14:11,39.3558,-9.3811,62.01,79,80,8.01
204,Tiksi,RU,2021-04-24 23:14:11,71.6872,128.8694,31.78,92,100,11.01
205,Oksfjord,NO,2021-04-24 23:11:38,70.2396,22.3479,32.0,74,90,13.8
206,Georgetown,MY,2021-04-24 23:10:56,5.4112,100.3354,78.8,89,20,5.75
207,Kendari,ID,2021-04-24 23:14:12,-3.945,122.4989,76.21,89,9,2.37
208,Pisco,PE,2021-04-24 23:12:15,-13.7,-76.2167,69.01,83,0,20.71
209,Fortuna,US,2021-04-24 23:14:12,40.5982,-124.1573,61.0,54,1,12.66
210,Cayhagan,PH,2021-04-24 23:14:13,9.6697,122.4256,79.77,79,92,1.01
211,Faranah,GN,2021-04-24 23:14:13,10.0404,-10.7434,78.49,68,76,6.91
212,Sergeyevka,KZ,2021-04-24 23:14:13,53.88,67.4158,43.86,46,100,9.93
213,Isla Vista,US,2021-04-24 23:14:14,34.4133,-119.861,66.2,63,1,12.66
214,Yulara,AU,2021-04-24 23:09:24,-25.2406,130.9889,60.8,48,15,10.36
215,Namibe,AO,2021-04-24 23:14:14,-15.1961,12.1522,77.74,78,8,0.65
216,Along,IN,2021-04-24 23:14:14,28.1667,94.7667,63.12,71,93,2.13
217,Ampanihy,MG,2021-04-24 23:14:15,-24.7,44.75,69.89,71,1,5.61
218,Kirkwall,GB,2021-04-24 23:14:15,58.9848,-2.9587,37.4,81,100,4.92
